segment,bin,golden_i,golden_q
0,1360,-24,-3
0,1361,-24,-4
0,1362,-24,-4
0,1363,-24,-5
0,1364,-24,-6
0,1365,-23,-6
0,1366,-23,-7
0,1367,-23,-8
0,1368,-23,-8
0,1369,-22,-9
0,1370,-22,-10
0,1371,-22,-10
0,1372,-21,-11
0,1373,-21,-11
0,1374,-21,-12
0,1375,-20,-13
0,1376,-20,-13
0,1377,-20,-14
0,1378,-19,-14
0,1379,-19,-15
0,1380,-18,-15
0,1381,-18,-16
0,1382,-17,-17
0,1383,-17,-17
0,1384,-16,-18
0,1385,-16,-18
0,1386,-15,-18
0,1387,-15,-19
0,1388,-14,-19
0,1389,-14,-20
0,1390,-13,-20
0,1391,-13,-21
0,1392,-12,-21
0,1393,-11,-21
0,1394,-11,-22
0,1395,-10,-22
0,1396,-9,-22
0,1397,-9,-22
0,1398,-8,-23
0,1399,-7,-23
0,1400,-7,-23
0,1401,-6,-23
0,1402,-5,-24
0,1403,-5,-24
0,1404,-4,-24
0,1405,-3,-24
0,1406,-3,-24
0,1407,-2,-24
0,1408,-1,-24
0,1409,-1,-24
0,1410,0,-24
0,1411,1,-24
0,1412,2,-24
0,1413,2,-24
0,1414,3,-23
0,1415,4,-23
0,1416,4,-23
0,1417,5,-23
0,1418,6,-23
0,1419,6,-22
0,1420,7,-22
0,1421,8,-22
0,1422,8,-21
0,1423,9,-21
0,1424,10,-21
0,1425,10,-20
0,1426,11,-20
0,1427,11,-19
0,1428,12,-19
0,1429,13,-18
0,1430,13,-18
0,1431,14,-17
0,1432,14,-17
0,1433,15,-16
0,1434,15,-16
0,1435,16,-15
0,1436,16,-15
0,1437,17,-14
0,1438,17,-14
0,1439,18,-13
0,1440,18,-13
0,1441,18,-12
0,1442,19,-11
0,1443,19,-11
0,1444,19,-10
0,1445,20,-10
0,1446,20,-9
0,1447,20,-8
0,1448,21,-8
0,1449,21,-7
0,1450,21,-7
0,1451,21,-6
0,1452,21,-5
0,1453,22,-5
0,1454,22,-4
0,1455,22,-3
0,1456,22,-2
0,1457,22,-2
0,1458,22,-1
0,1459,22,0
0,1460,22,0
0,1461,22,1
0,1462,22,2
0,1463,22,2
0,1464,22,3
0,1465,21,4
0,1466,21,4
0,1467,21,5
0,1468,21,6
0,1469,21,6
0,1470,21,7
0,1471,20,8
0,1472,20,8
0,1473,20,9
0,1474,19,9
0,1475,19,10
0,1476,19,11
0,1477,18,11
0,1478,18,12
0,1479,17,12
0,1480,17,13
0,1481,16,13
0,1482,16,14
0,1483,15,14
0,1484,15,15
0,1485,15,15
0,1486,14,16
0,1487,14,16
0,1488,13,17
0,1489,13,17
0,1490,12,18
0,1491,11,18
