cycle,range_bin,doppler_bin,output_hex
1525495000,23,22,00fb0011
1525505000,23,23,0143fe5a
1525515000,23,24,fe30ffd4
1525525000,23,25,00bc0062
1525535000,23,26,ff94003d
1525545000,23,27,ff3800c2
1525555000,23,28,00b7ff14
1525565000,23,29,01f3fe01
1525575000,23,30,fe530381
1525585000,23,31,ffbbfdd2
1527465000,24,0,fe3c0147
1527475000,24,1,00e6ff55
1527485000,24,2,fe5d003d
1527495000,24,3,0396ff84
1527505000,24,4,fcfd0011
1527515000,24,5,00a30159
1527525000,24,6,ff64fe66
1527535000,24,7,01acff72
1527545000,24,8,ff6001d1
1527555000,24,9,ff86ff0b
1527565000,24,10,fff70087
1527575000,24,11,ff10ff48
1527585000,24,12,0333feff
1527595000,24,13,fc3902c3
1527605000,24,14,014cfef6
1527615000,24,15,0196fefe
1529495000,24,16,ff3afebf
1529505000,24,17,01010046
1529515000,24,18,fe1f0087
1529525000,24,19,026cfe68
1529535000,24,20,ff330097
1529545000,24,21,fe1900cc
1529555000,24,22,020400f5
1529565000,24,23,ff3cfd82
1529575000,24,24,ffcc0177
1529585000,24,25,00b30068
1529595000,24,26,ffd10053
1529605000,24,27,fd0cffec
1529615000,24,28,02f3fd97
1529625000,24,29,fecb0046
1529635000,24,30,0180008d
1529645000,24,31,ff74008a
1531525000,25,0,ff2d00ba
1531535000,25,1,015cfe7f
1531545000,25,2,fefb0151
1531555000,25,3,013fffa3
1531565000,25,4,fe3cfe9c
1531575000,25,5,00df02c8
1531585000,25,6,ff05fece
1531595000,25,7,0249febd
1531605000,25,8,ff310190
1531615000,25,9,fed0fe7f
1531625000,25,10,00870205
1531635000,25,11,ffe5ff79
1531645000,25,12,01cafd62
1531655000,25,13,fda5029a
1531665000,25,14,00adff8c
1531675000,25,15,004bffcf
1533555000,25,16,003a00ab
1533565000,25,17,0040ff3a
1533575000,25,18,ffb5016b
1533585000,25,19,009eff01
1533595000,25,20,ff35ffac
1533605000,25,21,fea80050
1533615000,25,22,02a600ff
1533625000,25,23,0019fdc6
1533635000,25,24,ff4c00af
1533645000,25,25,fff601ce
1533655000,25,26,0017fe9f
1533665000,25,27,fe440003
1533675000,25,28,01adfed2
1533685000,25,29,005eff1c
1533695000,25,30,001e01f7
1533705000,25,31,ff41ffca
1535585000,26,0,00f80057
1535595000,26,1,fe36013f
1535605000,26,2,00c9fe94
1535615000,26,3,006a01bf
1535625000,26,4,00d2fd6c
1535635000,26,5,fd920456
1535645000,26,6,00ecfbcc
1535655000,26,7,01ce01a3
1535665000,26,8,feea0115
1535675000,26,9,ffd4fdbd
1535685000,26,10,005f0252
1535695000,26,11,ff24fef1
1535705000,26,12,020cfd8c
1535715000,26,13,fe180372
1535725000,26,14,009cff02
1535735000,26,15,ff80fed1
1537615000,26,16,0044fed2
1537625000,26,17,ffe6fdfb
1537635000,26,18,005f033c
1537645000,26,19,ff15fe43
1537655000,26,20,00d7ff54
1537665000,26,21,002900a6
1537675000,26,22,002900b3
1537685000,26,23,ff09ff59
1537695000,26,24,0218ff22
1537705000,26,25,fdea038f
1537715000,26,26,0111fdec
1537725000,26,27,fe1ffed1
1537735000,26,28,fff9005c
1537745000,26,29,00c7fe18
1537755000,26,30,01bb0011
1537765000,26,31,fea302cb
1539645000,27,0,ffe9009e
1539655000,27,1,ffeeff08
1539665000,27,2,003800b9
1539675000,27,3,00d4ff8a
1539685000,27,4,fe8d000c
1539695000,27,5,001c0094
1539705000,27,6,00460051
1539715000,27,7,01fdfde0
1539725000,27,8,fe1701a8
1539735000,27,9,feeafe3a
1539745000,27,10,024802d7
1539755000,27,11,fcbefe9c
1539765000,27,12,0407fe8e
1539775000,27,13,fd5001fe
1539785000,27,14,0076ffd7
1539795000,27,15,005dff8e
1541675000,27,16,012302c8
1541685000,27,17,00b3fee4
1541695000,27,18,fe8f00f3
1541705000,27,19,fffdff7b
1541715000,27,20,00d60117
1541725000,27,21,fe2cfd4b
1541735000,27,22,020c019c
1541745000,27,23,ff03ffd9
1541755000,27,24,ff07fff6
1541765000,27,25,01050114
1541775000,27,26,ffcd001b
1541785000,27,27,feb1ff13
1541795000,27,28,ff6cff3f
1541805000,27,29,00500119
1541815000,27,30,ffecffc2
1541825000,27,31,002bfd5d
1543705000,28,0,fe4a008a
1543715000,28,1,01e0fff4
1543725000,28,2,feecfe3d
1543735000,28,3,01c1027f
1543745000,28,4,fe18fde0
1543755000,28,5,00f00246
1543765000,28,6,ff05fd8c
1543775000,28,7,01d200c8
1543785000,28,8,ffd60064
